Parliament,Session,speech
39th,1st,"Canada's voice in the world must be supported by action, both at home and abroad. Advancing our interests in a complex and sometimes dangerous world requires confidence and the independent capacity to defend our country's sovereignty and the security of our citizens."
39th,1st,"The Government will work cooperatively with our friends and allies and constructively with the international community to advance common values and interests. In support of this goal, it will build stronger multilateral and bilateral relationships, starting with Canada's relationship with the United States, our best friend and largest trading partner."
39th,1st,"More broadly, this Government is committed to supporting Canada's core values of freedom, democracy, the rule of law and human rights around the world. In this regard, the Government will support a more robust diplomatic role for Canada, a stronger military and a more effective use of Canadian aid dollars."
39th,1st,"Just as it honours the past efforts of our veterans, the Government stands firmly behind the vital role being played by our troops in Afghanistan today. The dedicated Canadians in Afghanistan deserve all of our support as they risk their lives to defend our national interests, combat global terrorism and help the Afghan people make a new start as a free, democratic and peaceful country."
39th,1st,"The Government's clear and focused agenda reflects its commitment to Canadians. It will not try to do all things at once. Instead, the Government will work diligently to make tangible improvements that contribute to stronger families and safer communities, and a stronger country."
39th,1st,"During this Thirty-Ninth Parliament, the Government will be bringing forward fiscally responsible budgets and a legislative program that will achieve the results that Canadians expect from their elected representatives. In this work, it will rely on the support and counsel of a dedicated and professional Public Service. In turn, it will give the Public Service the leadership and tools it needs to excel in the service of Canadians. Recognizing the important role of parliamentarians, members of Parliament will be asked to conduct comprehensive reviews of key federal legislation, including the Canadian Environmental Protection Act, the Anti-Terrorism Act and the Bank Act. The Government will act in Parliament to offer an apology for the Chinese Head Tax. Significant international treaties will be submitted for votes in Parliament."
39th,1st,"Over the course of its mandate, and starting with the clear priorities set out today, the Government will work diligently to build a record of results. It will promote a more competitive, more productive Canadian economy. It will seek to improve opportunity for all Canadians, including Aboriginal peoples and new immigrants. It will work to improve the security of seniors. It will take measures to achieve tangible improvements in our environment, including reductions in pollution and greenhouse gas emissions."
39th,1st,"This Government recognizes the unique challenges faced by those who make their livelihood from our land and oceans in our vital natural resource and agriculture industries. It will take action to secure a prosperous future for Canadian agriculture, following years of neglect. It will respond to short-term needs, create separate and more effective farm income stabilization and disaster relief programs and work with producers and partners to achieve long-term competitiveness and sustainability."
39th,1st,"Together, the Government's actions will ensure Canada's future success."
39th,1st,"With the efforts and contributions of members from both chambers, the Government looks forward to making this Parliament work for the benefit of the Canadian people."
39th,1st,Members of the House of Commons:
39th,1st,You will be asked to appropriate the funds required to carry out the services and expenditures authorized by Parliament.
39th,1st,Honourable Members of the Senate and Members of the House of Commons:
39th,1st,May Divine Providence guide your deliberations.
39th,1st, 
39th,1st,Updated: 2006-04-04
39th,1st,Stay Connected
39th,2nd,                                                  
39th,2nd,"At 7 p.m., Her Excellency the Governor General proceeded to the Senate Chamber and took her seat upon the Throne. Her Excellency was pleased to command the attendance of the House of Commons, and, that House being come, with their Speaker, Her Excellency was pleased to open the Second Session of the Thirty-ninth Parliament of Canada with the following speech:"
39th,2nd,"Honourable Senators, "
39th,2nd,"Members of the House of Commons, "
39th,2nd,"Ladies and Gentlemen, "
39th,2nd,"I would like to address the first words in this chamber to the members of the Canadian Forces, some of whom are present here today. Their commitment and courage in the name of justice, equality and freedom — whose benefits are not accorded to all peoples in the world — are worthy of our utmost respect."
39th,2nd,"The Speech from the Throne is an important moment in our country's democratic life. Through the Speech from the Throne, the Government shares its vision with Canadians. And it is thus that we open the Second Session of the Thirty- ninth Parliament today."
39th,2nd,"Fifty years ago, on October 14, 1957, during her first visit to Canada as its Sovereign, and for the first time in Canadian history, Her Majesty Queen Elizabeth II opened the First Session of the Twenty-third Parliament."
39th,2nd,"This room is filled with history, and we mark history again this year as we celebrate a number of anniversaries. I think, in particular, of the bicentenary of the Abolition of the Slave Trade Act in the British Empire . I also think of the 60th anniversary of the adoption of the Citizenship Act on January 1, 1947. And I think of the 40th anniversary of the Order of Canada , whose one hundredth investiture ceremony we will soon be celebrating at Rideau Hall."
39th,2nd,"And although Canada is a young country, its history is marked by our unwavering willingness — which I was touched to see all across Canada — to be and to continue to be a generous society. A society that is concerned about the well being of others. A society that is protective of the spirit of this bountiful land, a deep respect learned from Aboriginal peoples. A society that is committed to finding solutions to today's challenges. A society that is open to creation and quick to innovate. A society that is filled with young people who have an unprecedented openness to the world."
39th,2nd,STRONG LEADERSHIP.  A BETTER CANADA . 
39th,2nd,"Canada is the greatest country in the world, a nation of enormous potential built through the imagination and dedication of ordinary Canadians. Canadians who have worked hard to build a better life for their families. Canadians who have joined with their neighbours to create a society founded on peace and prosperity."
39th,2nd,Canada is their legacy to us.
39th,2nd,Canadians expect their government to help them build on this legacy. They want a government that sets clear goals and delivers concrete results. A government that is accountable. A government that puts Canadians and their families first.
39th,2nd,Our Government has worked hard to meet these expectations. Canadians now have more money in their pockets because taxes have been cut. Families now have real choice in child care through the Universal Child Care Benefit. Canadians now have a government committed to helping them get the medical care they need more quickly. A government that is tackling crime and making neighbourhoods safer.
39th,2nd,"The results are clear: the economy is strong, the government is clean and the country is united."
39th,2nd,"Now is the time to continue building a better Canada . In the next session, our Government will focus on five clear priorities: strengthening Canada 's sovereignty and place in the world; building a stronger federation; providing effective economic leadership; continuing to tackle crime; and improving our environment."
39th,2nd,STRENGTHENING CANADA 'S SOVEREIGNTY AND PLACE IN THE WORLD 
39th,2nd,"Canada is built on a common heritage of values, which Canadians have fought and died to defend. It is a country that continues to attract newcomers seeking refuge and opportunity, who see Canada as a place where they can work hard, raise families and live in freedom. Our Government is resolved to uphold this heritage by protecting our sovereignty at home and living by our values abroad."
39th,2nd,"The Arctic is an essential part of Canada 's history. One of our Fathers of Confederation, D'Arcy McGee, spoke of Canada as a northern nation, bounded by the blue rim of the ocean. Canadians see in our North an expression of our deepest aspirations: our sense of exploration, the beauty and the bounty of our land, and our limitless potential."
39th,2nd,"But the North needs new attention. New opportunities are emerging across the Arctic , and new challenges from other shores. Our Government will bring forward an integrated northern strategy focused on strengthening Canada 's sovereignty, protecting our environmental heritage, promoting economic and social development, and improving and devolving governance, so that northerners have greater control over their destinies."
39th,2nd,"To take advantage of the North's vast opportunities, northerners must be able to meet their basic needs. Our Government will work to continue to improve living conditions in the North for First Nations and Inuit through better housing."
39th,2nd,"Our Government will build a world-class Arctic research station that will be on the cutting edge of Arctic issues, including environmental science and resource development. This station will be built by Canadians, in Canada 's Arctic , and it will be there to serve the world."
39th,2nd,"As part of asserting sovereignty in the Arctic, our Government will complete comprehensive mapping of Canada 's Arctic seabed. Never before has this part of Canada 's ocean floor been fully mapped."
39th,2nd,"Defending our sovereignty in the North also demands that we maintain the capacity to act. New Arctic patrol ships and expanded aerial surveillance will guard Canada 's Far North and the Northwest Passage . As well, the size and capabilities of the Arctic Rangers will be expanded to better patrol our vast Arctic territory."
39th,2nd,"Ensuring our capacity to defend Canada 's sovereignty is at the heart of the Government's efforts to rebuild the Canadian Forces. Canada 's men and women in uniform risk their lives for their country, and deserve the equipment and training required for a first-class, modern military. Our Government will modernize Canada 's military to provide effective surveillance and protection for all of our country, cooperate in the defence of North America , and meet our responsibilities abroad to the United Nations and our allies. Further, recognizing the important role that the Reserves play in this modernization, our Government will work with the provinces and territories to bring forward a comprehensive plan to modernize reservist reinstatement policies."
39th,2nd,"At the same time as our Government rebuilds to meet our future needs, it will continue to improve support for our veterans who have contributed so much to defending Canada in the past."
39th,2nd,"Rebuilding our capabilities and standing up for our sovereignty have sent a clear message to the world: Canada is back as a credible player on the international stage. Our Government believes that focus and action, rather than rhetoric and posturing, are restoring our influence in global affairs. Guided by our shared values of democracy, freedom, human rights and the rule of law, our Government will continue Canada 's international leadership through concrete actions that bring results."
39th,2nd,A commitment to action means that Canada must make common cause with those fighting for the values we uphold. Our Government will immediately call upon Parliament to confer honorary citizenship on Aung San Suu Kyi . Her long struggle to bring freedom and democracy to the people of Burma has made her the embodiment of these ideals and an inspiration to all of us.
39th,2nd,"Nowhere is Canada making a difference more clearly than in Afghanistan . Canada has joined the United Nations- sanctioned mission in Afghanistan because it is noble and necessary. Canadians understand that development and security go hand in hand. Without security, there can be no humanitarian aid, no reconstruction and no democratic development. Progress will be slow, but our efforts are bearing fruit. There is no better measure of this progress than the four million Afghan boys and two million girls who can dream of a better future because they now go to school."
39th,2nd,"The Canadian Forces mission in Afghanistan has been approved by Parliament until February 2009, and our Government has made clear to Canadians and our allies that any future military deployments must also be supported by a majority of parliamentarians. In the coming session, members will be asked to vote on the future of the Canadian mission in Afghanistan . This decision should honour the dedication and sacrifice of Canada 's development workers, diplomats and men and women in uniform. It should ensure that progress in Afghanistan is not lost and that our international commitments and reputation are upheld."
39th,2nd,"Our Government does not believe that Canada should simply abandon the people of Afghanistan after February 2009. Canada should build on its accomplishments and shift to accelerate the training of the Afghan army and police so that the Afghan government can defend its own sovereignty. This will not be completed by February 2009, but our Government believes this objective should be achievable by 2011, the end of the period covered by the Afghanistan Compact. Our Government has appointed an independent panel to advise Canadians on how best to proceed given these considerations."
39th,2nd,"In our own neighbourhood, the Americas , Canada is back playing an active role. The Canadian model of constitutional democracy and economic openness combined with social safety nets, equitable wealth creation and sharing across regions has much to offer those countries struggling to build a better future."
39th,2nd,"Canada 's efforts in Haiti are a compelling example of how we can work with our neighbours to ensure security and development. Canadians understand that our country has a responsibility to help countries struggling to make a better life for their people — particularly in promoting democratic governance in fragile states. In Haiti and elsewhere, our Government will bring greater focus and effectiveness to Canada 's international assistance to ensure that Canadians' money is well spent."
39th,2nd,"The best hope for fostering development and our common security in the hemisphere and beyond is through bolstering international trade. Through renewed focus on trade and investment arrangements, Canada has already secured a deal with the European Free Trade Association, the first new agreement in more than half a decade. Our Government will keep advancing Canada 's trade interests in the Americas and around the world to open up new markets for Canada 's innovators."
39th,2nd,STRENGTHENING THE FEDERATION AND OUR DEMOCRATIC INSTITUTIONS 
39th,2nd,"Next year we mark important anniversaries spanning our country and its history. We will celebrate the 400th anniversary of the founding of Quebec City . Canada was born in French, reflected in the presence of francophones throughout Canada , and in Parliament's recognition that the Québécois form a nation within our united country."
39th,2nd,"We will also celebrate the 250th anniversary of the establishment of Nova Scotia 's representative assembly, which marks the birth of Canadian parliamentary democracy, and the 150th anniversary of the founding of the Crown Colony of British Columbia."
39th,2nd,"John A. Macdonald, George- Étienne Cartier and the other Fathers of Confederation brought many peoples and regions together to create a federation that has served Canadians well for 140 years."
39th,2nd,"Our Government is committed to strengthening that union: it has concentrated on its national role by reinvesting in neglected federal responsibilities, such as trade, defence, public safety and security. It has put fiscal relations with provinces and territories on a principled basis and increased the level of transfers to support quality health care and social services."
39th,2nd,"Our Government believes that the constitutional jurisdiction of each order of government should be respected. To this end, guided by our federalism of openness, our Government will introduce legislation to place formal limits on the use of the federal spending power for new shared-cost programs in areas of exclusive provincial jurisdiction. This legislation will allow provinces and territories to opt out with reasonable compensation if they offer compatible programs."
39th,2nd,"Our Government will also pursue the federal government's rightful leadership in strengthening Canada 's economic union. Despite the globalization of markets, Canada still has a long way to go to establish free trade among our provinces. It is often harder to move goods and services across provincial boundaries than across our international borders. This hurts our competitive position but, more importantly, it is just not the way a country should work. Our Government will consider how to use the federal trade and commerce power to make our economic union work better for Canadians."
39th,2nd,"Canadians understand that the federation is only as strong as the democratic institutions that underpin it. Our Government believes that Canada is not well served by the Senate in its current form. To ensure that our institutions reflect our shared commitment to democracy, our Government will continue its agenda of democratic reform by reintroducing important pieces of legislation from the last session, including direct consultations with voters on the selection of Senators and limitations on their tenure."
39th,2nd,"In addition, the integrity of our federal voting system will be further strengthened through measures to confirm the visual identification of voters."
39th,2nd,Our Government supports Canada 's linguistic duality. It will renew its commitment to official languages in Canada by developing a strategy for the next phase of the Action Plan for Official Languages.
39th,2nd,"Our Government remains committed to improving the lives of Canada 's Aboriginal people. The Government will reintroduce legislation to guarantee to people living on reserve the same protections other Canadians enjoy under the Canadian Human Rights Act . Our Government will also present legislation on specific claims, which will finally bring fairness and timely resolution to the claims process."
39th,2nd,"Our Government recently concluded a final settlement on Indian Residential Schools and will launch a commission for truth and reconciliation. The Prime Minister, on behalf of our Government, will use this occasion to make a statement of apology to close this sad chapter in our history."
39th,2nd,PROVIDING EFFECTIVE ECONOMIC LEADERSHIP FOR A PROSPEROUS FUTURE 
39th,2nd,"This is a time of economic uncertainty and volatility in the wider world. While the economic fundamentals of our country are strong, Canada is not immune from this turbulence. Canadians understand these challenges and want a government that is a competent and effective manager of the economy."
39th,2nd,"With Advantage Canada , our Government has laid out a sensible economic plan to secure better-paying jobs and solid growth for Canadians. The Minister of Finance will soon provide a Fall Economic and Fiscal Update, which will outline the next steps in that plan to ensure that Canada has a modern infrastructure, an innovative and entrepreneurial business environment, and a tax system that rewards hard work — all based on a foundation of sound fiscal management."
39th,2nd,"As part of ensuring economic security for Canadians, our Government will bring forward a long-term plan of broad- based tax relief for individuals, businesses and families — including following through on its commitment to a further cut to the GST. To complement this, our Government will support Canadian researchers and innovators in developing new ideas and bringing them to the marketplace through Canada 's Science and Technology Strategy."
39th,2nd,"Our Government will improve the protection of cultural and intellectual property rights in Canada , including copyright reform. Our Government will also take measures to improve the governance and management of the Employment Insurance Account."
39th,2nd,The bedrock of our workforce is middle-class Canadians and their families. These families worry about the rising costs of higher education and the expense of caring for elderly parents. They worry about affordable housing and the number of homeless people on our streets.
39th,2nd,"Our Government is committed to helping Canadian families meet their needs. The Working Income Tax Benefit will help Canadians get back into the workforce, and the registered disability savings plan will help families care for children with severe disabilities. Our Government will continue to invest in our families and our future, and will help those seeking to break free from the cycles of homelessness and poverty."
39th,2nd,"Our Government will announce an infrastructure program, the Building Canada Plan, to support our long- term growth. By investing in our transport and trade hubs, including the Windsor — Detroit corridor and the Atlantic and Pacific gateways, our Government will help rebuild our fundamentals for continued growth."
39th,2nd,"The result will be safer roads and bridges, shorter commutes, more competitive business, improved cultural infrastructure and a better quality of life for all Canadians."
39th,2nd,"Our Government will stand up for Canada 's traditional industries. Key sectors including forestry, fisheries, manufacturing and tourism are facing challenges. Our Government has taken action to support workers as these industries adjust to global conditions and will continue to do so in the next session."
39th,2nd,"The agricultural sector will benefit from our Government's promotion of biofuels and the new Growing Forward agricultural framework. Our Government will recognize the views of farmers, as expressed in the recent plebiscite on barley, by enacting marketing choice. Together with our Government's strong support for Canada 's supply- managed system, these approaches will deliver stable, predictable and bankable support for farm families."
39th,2nd,"Our mining and resource sectors present extraordinary opportunities across Canada , and our Government will help move forward by providing a single window for major project approvals. With these increased opportunities for employment, our Government will continue to foster partnerships that help Aboriginal people get the skills and training to take advantage of these job prospects in the North and across Canada ."
39th,2nd,TACKLING CRIME AND STRENGTHENING THE SECURITY OF CANADIANS 
39th,2nd,"Canada was founded on the principles of peace, order and good government. This is the birthright of all Canadians; yet Canadians feel less safe today and rightly worry about the security of their neighbourhoods and the country. There is no greater responsibility for a government than to protect this right to safety and security."
39th,2nd,"In the last session, our Government introduced important and timely legislation to tackle violent crime. Unfortunately much of this legislation did not pass. That is not good enough to maintain the confidence of Canadians. Our Government will immediately reintroduce these measures with a single, comprehensive Tackling Violent Crime bill to protect Canadians and their communities from violent criminals and predators. This will include measures on the age of protection, impaired driving, dangerous offenders and stricter bail and mandatory prison sentences for those who commit gun crimes. Canadians expect prompt passage of this crucial legislation."
39th,2nd,"Our Government will go further with a Safer Communities strategy to deal with the critical intersection of drug, youth and property crime. Our Government will strengthen the Youth Criminal Justice Act  to ensure that young offenders who commit serious crimes are held accountable to victims and their communities. Our Government will introduce tough new laws to tackle property crime, including the serious problem of auto theft. New measures to address elder abuse and to curb identity theft will also be introduced. Our Government will implement the National Anti-Drug Strategy giving law enforcement agencies powers to take on those who produce and push drugs on our streets."
39th,2nd,"In addition to tougher laws, our Government will provide targeted support to communities and victims. It will help families and local communities in steering vulnerable youth away from a life of drugs and crime, and the Anti-Drug Strategy will help to treat those suffering from drug addiction. It will again ask Parliament to repeal the wasteful long-gun registry. Our Government will also ensure effective law enforcement — starting with resources to recruit 2,500 more officers to police our streets."
39th,2nd,The concern of Canadians in protecting our communities extends naturally to protecting our country against threats to our national security: those who would attack the peaceful pluralism of our society through acts of terrorism. Canada has experienced the tragedy of terrorism before. The report from the public inquiry into the Air India bombing will be an important contribution to safeguarding the lives of Canadians in the future.
39th,2nd,"Our Government will address Canadians directly on the challenge of protecting our free and open society with a statement on national security. The Government will introduce legislation to make sure that Canada has the tools it needs to stop those who would threaten our cities, communities and families, including measures to strengthen the  Anti-Terrorism Act and to respond to the Supreme Court decision on security certificates."
39th,2nd,IMPROVING THE ENVIRONMENT AND HEALTH OF CANADIANS 
39th,2nd,Threats to our environment are a clear and present danger that now confronts governments around the world. This is nowhere more evident than in the growing challenge of climate change.
39th,2nd,"Our Government believes that action is needed now to ensure our quality of life, particularly for those most vulnerable to health threats from the environment — our children and seniors."
39th,2nd,"Climate change is a global issue and requires a global solution. Our Government believes strongly that an effective global approach to greenhouse gas emissions must have binding targets that apply to all major emitters, including Canada . Canada has already engaged the international community at APEC, the G8 and the United Nations and will continue to press for a new international agreement that cuts global emissions in half by 2050."
39th,2nd,"As we pursue a global consensus, Canada is acting even more aggressively at home. Our Government will implement our national strategy to reduce Canada 's total greenhouse gas emissions 60 to 70 percent by 2050. There will be a 20 percent reduction by 2020. Our Government will bring forward the elements from Canada 's Clean Air Act, which had all-party consensus, for parliamentary consideration."
39th,2nd,"This strategy will institute binding national regulations on greenhouse gas emissions across all major industrial sectors — with requirements for emissions reductions starting this year. Our Government will also bring forward the first-ever national air pollution regulations. In so doing, our Government will put Canada at the forefront of clean technologies to reduce air pollution and greenhouse gas emissions. Our Government will also establish a carbon emissions trading market that will give business the incentive to run cleaner, greener operations."
39th,2nd,"At the end of 2005, Canada 's greenhouse gas emissions were 33 percent above the Kyoto commitment. It is now widely understood that, because of inaction on greenhouse gases over the last decade, Canada 's emissions cannot be brought to the level required under the Kyoto Protocol within the compliance period, which begins on January 1, 2008, just 77 days from now."
39th,2nd,"The world is moving on to address climate change and the environment, and Canada intends to help lead the effort at home and abroad."
39th,2nd,"Beyond regulating greenhouse gases and air pollution, our Government has also acted to protect sensitive areas, including a massive expansion of Nahanni National Park, and preserving the Great Bear Rainforest, Point Pleasant Park and Stanley Park. Through our new infrastructure plan, our Government will promote a cleaner environment by investing in public transport and water treatment, and by cleaning up contaminated sites. A new water strategy will be implemented to help clean up our major lakes and oceans and to improve access to safe drinking water for First Nations."
39th,2nd,"In the past, environmental legislation and regulation have had little impact because they have lacked an effective enforcement regime. In the coming session, our Government will bolster the protection of our water and land through tougher environmental enforcement that will make polluters accountable."
39th,2nd,Environmental protection is not just about protecting nature. It is about the health of Canadians. Recent events have called into question the safety of basic products such as food for our families and toys for our children.
39th,2nd,Our Government shares the concern of parents about the safety of consumer products and food. Canadians should expect the same standards of quality from imported goods as they do from products made at home. The Government will introduce measures on food and product safety to ensure that families have confidence in the quality and safety of what they buy.
39th,2nd,CONCLUSION: THE NORTH STAR 
39th,2nd,Canadians can be proud of their country and its achievements. Working together we have built a nation that is prosperous and safe; a land where merit trumps privilege; a place where people from around the world live in harmony; a federation that is united at home and respected abroad.
39th,2nd,"Like the North Star, Canada has been a guide to other nations; through difficult times, Canada has shone as an example of what a people joined in common purpose can achieve. Yet Canada 's greatest strength lies in its energy and determination to move forward and build a better future."
39th,2nd,Our Government is committed to strong leadership to realize that future. A Canada proud of its leadership in the world and confident in its economic future. A Canada built on a strong federation and a robust democracy. A Canada that is safe for our families and healthy for our children.
39th,2nd,"Canadians, standing on a proud history, look onto a horizon as limitless as the promise of our country. It is up to us to build on the legacy we have inherited, to seize the opportunities of the future, and to bring about an even better Canada for our children."
39th,2nd,"May your deliberations be guided by Divine Providence, may your wisdom and patriotism enlarge the prosperity of the country and promote in every way the well-being of its people."
39th,2nd,The House of Commons withdrew.
39th,2nd,Her Excellency the Governor General was pleased to retire.
39th,2nd, 
39th,2nd, 
39th,2nd,Stay Connected
38th,1st,"HONOURABLE MEMBERS OF THE SENATE,MEMBERS OF THE HOUSE OF COMMONS,LADIES AND GENTLEMEN:"
38th,1st,"I congratulate both the returning members of Parliament, as well as the more than one hundred who are newly elected, as you take up your duties in the House of Commons for this Thirty-Eighth Parliament of Canada."
38th,1st,"This year, Canadians commemorated the 60th anniversary of D-Day and the landing of allied forces in Europe—an event that spelled the beginning of the end of the Second World War. Canadian soldiers, sailors and aircrews fought with dogged bravery and were ultimately victorious on Juno Beach that day."
38th,1st,"Shortly, I will be going to Italy to commemorate the significant campaign in which six thousand Canadians sacrificed their lives. To me, personally, these commemorations are a symbol of our eternal gratitude and an affirmation that we have not forgotten."
38th,1st,"On these occasions, we are reminded of the huge debt we owe to those in uniform who have served this country—then and today. Our veterans connect generations and Canadians. As a country and as individuals, we gain in pride and in purpose from their deeds and their service."
38th,1st,"I recently concluded extended visits to six cities of varying size—Saint John, Quebec City, Toronto, Saskatoon, Calgary and Vancouver. In them, I found remarkable, innovative projects for social renewal and individual commitment. They express the confidence and love that we all hold for this country. This is the spirit of Canada I see as Governor General."
38th,1st,"The Government starts this new session with a commitment that all parliamentarians share—regardless of political affiliation—to contribute to real progress for Canadians, for this country, for our future. The Government faces a new Parliament fresh from an election. The people of Canada want this Government, and all parliamentarians, to rise above partisanship to address the public interest. They want their political leaders to catch up with Canadians’ own ambitions for the country and their readiness to take on the world with confidence."
38th,1st,"Each of us must take responsibility. The Government will do its part to ensure that this minority Parliament works. Working together, we can unite the voices of all Canadians in common purpose."
38th,1st,The Government’s actions on behalf of Canadians will be guided by these seven commitments:
38th,1st,"Together, we can move Canada forward."
38th,1st,A STRONG ECONOMY
38th,1st,"Our quality of life, job opportunities and capacity to support our social goals rely on a globally competitive economy."
38th,1st,"Canada has a solid record of economic achievement. Over the past 10 years, we generated over three million new jobs. Since 1997, we have led all G7 countries in the growth of living standards. And low interest rates have made home ownership easier than it has been in decades."
38th,1st,"This has not happened by accident. A virtuous circle led to increased confidence, lower interest rates and robust growth of well-paying jobs. The increase in revenues and the recovery of fiscal sovereignty have in turn permitted the Government to reduce and improve the fairness of taxes, and make new social and economic investments. This virtuous circle will continue."
38th,1st,"We have been successful, but we will not be complacent. The Government will not spend itself into deficit. It will continue to pay down debt. Its objective is to reduce the debt-to-GDP ratio to 25 per cent within 10 years. It will provide transparent, accountable management, treating every tax dollar with respect. The Government will make the difficult decisions among competing priorities and systematically review all expenditures, reallocating from old to new, from past to future."
38th,1st,"Canada must now elevate its economic performance to the next level. Advancing technology and pervasive global competition demand of Canada a commitment to excellence, the pursuit of greater productivity, and a vision directed outward to the challenges and opportunities the world presents."
38th,1st,The Government will pursue a five-point strategy to build an even more globally competitive and sustainable economy.
38th,1st,"The first element is to invest in people, Canada’s greatest source of creativity and economic strength."
38th,1st,"We must invest in helping workers to continuously enhance their skills to keep pace with constantly evolving workplace requirements. To that end, the Government will develop a new Workplace Skills Strategy, including steps to enhance apprenticeship systems, and to boost literacy and other essential job skills. This will be  complemented by up-to-date training facilities and labour market agreements to be developed in collaboration with the provinces and territories, unions and sector councils."
38th,1st,The Government will continue to review the Employment Insurance program to ensure that it remains well-suited to the needs of Canada’s workforce.
38th,1st,"Efforts to improve the recognition of foreign credentials and prior work experience have yielded too little progress. Looking to the growing contribution that will be required from new Canadians as our population ages, this Government will redouble its efforts, in cooperation with the provinces and professional bodies, to help integrate them into the workforce."
38th,1st,"To increase access to post-secondary education, the Government will introduce legislation to implement its Learning Bond, an innovative savings vehicle that it announced to help low-income families provide for their children’s post-secondary education."
38th,1st,The second element of the economic strategy is to strengthen Canada’s ability to generate and apply new ideas.
38th,1st,"The Government of Canada has made substantial investments—more than $13 billion since 1997—that have built a strong foundation in basic science and technology, including the Canada Foundation for Innovation, health research and other initiatives to create leading-edge capabilities. It will continue to build on this strength."
38th,1st,"The National Science Advisor is assisting the Government to ensure that these investments are strategic, focused and delivering results, and is working to bring about a fuller integration of the Government’s substantial in-house science and technology activity."
38th,1st,"The next challenge is to turn more of Canadians’ bright ideas into dynamic businesses, great jobs and growing export earnings. To that end, the Government will ensure a supply of venture capital, particularly for early-stage businesses—for example, through the venture financing arm of the Business Development Bank of Canada."
38th,1st,"The Government will develop policies to foster Canadian capabilities in key enabling technologies—such as biotechnology, information and communications, and advanced materials—which will be drivers of innovation and productivity in the 21st century economy."
38th,1st,Providing “smart government”—the third element of our economic strategy—aims to make it easier for businesses to do business in Canada.
38th,1st,Smart government includes a transparent and predictable regulatory system that accomplishes public policy objectives efficiently while eliminating unintended impacts. This can be a key competitive advantage for Canada. That is why the Government welcomes the just-released report of the External Advisory Committee on Smart Regulation.
38th,1st,Smart government also includes providing an up-to-date legislative framework for business. The Government will therefore propose changes to modernize the Competition Act.
38th,1st,The fourth element of the Government’s overall economic strategy is a commitment to regional and sectoral development.
38th,1st,"The Government will do its part to enable the success of important sectors, including automotive, aerospace and other manufacturing, as well as agriculture and other resource-based industries."
38th,1st,"Canada’s regional economies are a vital source of economic strength and stability. Support for regional and rural economic development will target the fundamentals—skills upgrading, support for research and development, community development, and modern infrastructure such as broadband communication—by employing the regional agencies and tools such as the Atlantic Innovation Fund."
38th,1st,The Government’s regional objectives will be complemented by the most fundamental reform of the Equalization program in its 47-year history. The objective is to make more stable and predictable the total payments by the federal government to the less-wealthy provinces in support of key public services.
38th,1st,"A region of particular challenge and opportunity is Canada’s North—a vast area of unique cultural and ecological significance. The Government will develop, in cooperation with its territorial partners, Aboriginal people and other northern residents, the first-ever comprehensive strategy for the North. This northern strategy will foster sustainable economic and human development; protect the northern environment and Canada’s sovereignty and security; and promote cooperation with the international circumpolar community."
38th,1st,Promotion of trade and investment is the fifth pillar of the Government’s economic strategy.
38th,1st,"Strong investment will be the primary generator of growth and good jobs for the future. The Government will foster investment by attending to the conditions that encourage entrepreneurs and providers of risk capital. These include sound monetary and fiscal policies as well as competitive taxes, efficiently targeted to promote economic growth."
38th,1st,"Canada has always been a trading nation, but never more so than today. It is therefore vital that we secure and enhance our access to markets, both in North America and the world. To this end, the Government will continue to push for an open, rules-based international trading system and a successful conclusion of the Doha Round of global trade negotiations."
38th,1st,Issues such as softwood lumber and BSE underline the importance the Government attaches to obtaining more reliable access to U.S. markets. It will build on the successful Smart Borders initiative and on measures designed to develop a more sophisticated and informed relationship involving business and government officials in the United States.
38th,1st,"The Government will enhance its capacity to expand international trade and commerce, with a particular focus on North America and emerging markets."
38th,1st,"To complement its international commerce initiatives, the Government is determined to forge a stronger Canadian economic union, free of the internal barriers that still diminish opportunities and reduce our competitiveness."
38th,1st,THE HEALTH OF CANADIANS
38th,1st,"Canadians have told their governments, year after year, to renew Medicare, to stop bickering and work together to ensure that it will be there for them and their children. Governments have responded. On September 15, all fourteen First Ministers agreed on the Ten-year Plan to Strengthen Health Care."
38th,1st,"The Plan sets out a clear commitment, shared by all provinces and territories, to achieve tangible results—results for patients. What united all First Ministers was the commitment to a meaningful reduction in wait times for health services because it is key to transforming the health system. The Plan holds all governments to account by establishing a requirement for evidence-based benchmarks, comparable indicators, clear targets and transparent reporting to the public on access to health care. This means that the needs of patients will drive change."
38th,1st,"The Plan will accelerate reform and ensure better access to key tests and treatments. It will increase the number of doctors, nurses and other health professionals. This will be helped by quicker assessment and integration of those who have received their training abroad. The Plan will improve access to home and community care services and to safe and affordable drugs."
38th,1st,"The Plan commits to a 10-year track of substantial, predictable long-term funding, closing what has been called the “Romanow Gap.” The Plan creates a Wait Times Reduction Fund, so that Canadians can see tangible progress in key areas such as cancer and heart treatment, diagnostic imaging, joint replacements and sight restoration."
38th,1st,"The Plan addresses the unique challenges facing the delivery of health care services in Canada’s North, including the costs of medical transportation, and encourages innovative delivery of services to rural Canada."
38th,1st,"As part of the Plan, governments will, for the first time, set goals and targets for improving the health status of Canadians. The Health Council of Canada will provide an annual report on health status and health outcomes, and will report on progress in implementing the Plan."
